title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86750,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1136194,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,208267,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1483775,
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1131521,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113065,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,167773,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56135,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,558476,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,364764,
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1115499,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,591750,
"Once Were Warriors",movie,"Crime, Drama",1994,tt0110729,7.9,38147,
"Wallace & Gromit: A Close Shave",movie,"Animation, Comedy, Crime",1995,tt0112691,8.1,46494,
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153204,
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,385751,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61908,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,751809,
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18776,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,189208,
Dogville,movie,"Crime, Drama",2003,tt0276919,8,163961,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,922396,
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,745814,
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,668159,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,391904,
"Starship Troopers",movie,"Action, Adventure, Sci-Fi",1997,tt0120201,7.3,334766,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,481865,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,326184,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,212745,
"Next Door",movie,"Mystery, Thriller",2005,tt0453383,6.4,10919,
"The Lives of Others",movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,427375,
"Monty Python's Life of Brian",movie,Comedy,1979,tt0079470,8,428786,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,310095,
"Big Fish",movie,"Adventure, Drama, Fantasy",2003,tt0319061,8,469007,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,252506,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,472416,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,130673,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,513556,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1338158,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,821191,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2153140,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,651591,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,560481,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,639317,
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,418662,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247054,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,120347,
"The Passion of the Christ",movie,Drama,2004,tt0335345,7.2,262721,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,488727,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136218,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,153860,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,470179,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,314230,
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,204363,
"Easy Rider",movie,"Adventure, Drama",1969,tt0064276,7.2,120434,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,362345,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1188740,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,277882,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,777414,
"Boyz n the Hood",movie,"Crime, Drama",1991,tt0101507,7.8,162098,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,592963,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,171148,
"Central Station",movie,Drama,1998,tt0140888,8,47834,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,678125,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,903202,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,728618,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,728552,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,716762,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,665744,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2332241,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98319,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25055,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,527508,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115809,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,618628,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1214123,
"Monty Python and the Holy Grail",movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,587349,
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,242379,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,627382,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1324048,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,243898,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16584,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,567250,
