title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,147160,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1118236,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,458960,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,352607,
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2601,
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,39522,
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,156381,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68722,
"Harold and Maude",movie,"Comedy, Drama, Romance",1971,tt0067185,7.9,84068,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,383592,
Head-On,movie,"Drama, Romance",2004,tt0347048,7.8,59285,
"Rain Man",movie,Drama,1988,tt0095953,8,564906,
"To Catch a Thief",movie,"Drama, Mystery, Romance",1955,tt0048728,7.4,83605,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,279005,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,412469,
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5671,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,206614,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,837205,
Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,145265,
"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,226402,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,231806,
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,103989,
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,211416,
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,208612,
"The Life Aquatic with Steve Zissou",movie,"Action, Adventure, Comedy",2004,tt0362270,7.2,215872,
8½,movie,Drama,1963,tt0056801,8,129176,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,967184,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,25204,
Cube,movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,255219,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,496620,
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71862,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,82492,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87919,
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,140482,
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,35057,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1021226,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18722,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42043,
"Drugstore Cowboy",movie,"Crime, Drama",1989,tt0097240,7.2,42503,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83000,
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86750,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1136194,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,208267,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1483775,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29495,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,558476,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,364764,
Requiem,movie,"Drama, Horror",2006,tt0454931,6.8,6613,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,591750,
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,221831,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61908,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,751809,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,189208,
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,51893,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,481865,
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,389320,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,326184,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,212745,
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,693632,
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,51406,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,310095,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,252506,
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,144193,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,472416,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,130673,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,513556,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1338158,
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,248646,
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,453455,
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,626372,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247054,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,120347,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136218,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,314230,
"A Fish Called Wanda",movie,"Comedy, Crime",1988,tt0095159,7.5,159904,
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,61760,
"Un chien andalou",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,55373,
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,55386,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,277882,
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,99706,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,777414,
"Lost Highway",movie,"Drama, Mystery, Thriller",1997,tt0116922,7.6,163049,
"When Harry Met Sally...",movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,255325,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1163498,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,63328,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,331137,
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,29023,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,51541,
"Boyz n the Hood",movie,"Crime, Drama",1991,tt0101507,7.8,162098,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,592963,
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,118797,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,131209,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15563,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,678125,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2332241,
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26518,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,295283,
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2855,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98319,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25055,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,527508,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,618628,
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,414275,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,355066,
"Monty Python and the Holy Grail",movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,587349,
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,189441,
"Army of Darkness",movie,"Comedy, Horror",1992,tt0106308,7.4,201966,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58484,
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,32448,
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,40107,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,21141,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21702,
